Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
A1CF	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.0	0.018867924528301886
A2BP1	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.004784688995215311	0.017857142857142856	0.0	0.0
A2M	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.0
A2ML1	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.009569377990430622	0.0	0.012345679012345678	0.0
A4GALT	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
AAAS	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
AACS	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
AADAC	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.009569377990430622	0.0	0.012345679012345678	0.0
AADACL2	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.0	0.018867924528301886
AADACL4	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
AAK1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
AARS	0.008639308855291577	0.008	0.00847457627118644	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.0
AARS2	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.012345679012345678	0.0
AASDH	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
AASDHPPT	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.012345679012345678	0.0
